CTRY,YEARS,CIRI,REGION_code,REGION,SUBREGION_code,SUBREGION
Afghanistan,1981-2011,101,142,Asia,62,South-central Asia
Albania,1981-2011,104,150,Europe,39,Southern Europe
Algeria,1981-2011,107,2,Africa,15,Northern Africa
Andorra,1993-2011,110,150,Europe,39,Southern Europe
Angola,1981-2011,113,2,Africa,17,Middle Africa
Antigua and Barbuda,1981-2011,116,419,Latin America and the Caribbean,29,Caribbean
Argentina,1981-2011,119,419,Latin America and the Caribbean,5,South America
Armenia,1992-2011,122,142,Asia,145,Western Asia
Australia,1981-2011,125,9,Oceania,53,Australia & New Zealand
Austria,1981-2011,128,150,Europe,155,Western Europe
Azerbaijan,1992-2011,131,142,Asia,145,Western Asia
Bahamas,1981-2011,134,419,Latin America and the Caribbean,29,Caribbean
Bahrain,1981-2011,137,142,Asia,145,Western Asia
Bangladesh,1981-2011,140,142,Asia,62,South-central Asia
Barbados,1981-2011,143,419,Latin America and the Caribbean,29,Caribbean
Belarus,1992-2011,146,150,Europe,151,Eastern Europe
Belgium,1981-2011,149,150,Europe,155,Western Europe
Belize,1981-2011,152,419,Latin America and the Caribbean,13,Central America
Benin,1981-2011,155,2,Africa,11,Western Africa
Bhutan,1981-2011,158,142,Asia,62,South-central Asia
Bolivia,1981-2011,161,419,Latin America and the Caribbean,5,South America
Bosnia Herzegovenia,1992-2011,164,150,Europe,39,Southern Europe
Botswana,1981-2011,167,2,Africa,18,Southern Africa
Brazil,1981-2011,170,419,Latin America and the Caribbean,5,South America
Brunei,1985-2011,173,142,Asia,35,South-eastern Asia
Bulgaria,1981-2011,176,150,Europe,151,Eastern Europe
Burkina Faso,1984-2011,179,2,Africa,11,Western Africa
Burma,1981-2011,182,2,Africa,14,Eastern Africa
Burundi,1981-2011,185,2,Africa,14,Eastern Africa
Cambodia,1984-2011,188,142,Asia,35,South-eastern Asia
Cameroon,1981-2011,191,2,Africa,17,Middle Africa
Canada,1981-2011,194,21,North America,21,North America
Cape Verde,1981-2011,197,2,Africa,11,Western Africa
Central African Republic,1981-2011,200,2,Africa,17,Middle Africa
Chad,1981-2011,203,2,Africa,17,Middle Africa
Chile,1981-2011,206,419,Latin America and the Caribbean,5,South America
China,1981-2011,209,142,Asia,30,Eastern Asia
Colombia,1981-2011,212,419,Latin America and the Caribbean,5,South America
Comoros,1981-2011,215,2,Africa,14,Eastern Africa
"Congo, Democratic Republic of ",1981-2011,218,2,Africa,17,Middle Africa
"Congo, Republic of ",1981-2011,221,2,Africa,17,Middle Africa
Costa Rica,1981-2011,224,419,Latin America and the Caribbean,13,Central America
Cote d'Ivoire,1981-2011,227,2,Africa,11,Western Africa
Croatia,1992-2011,230,150,Europe,39,Southern Europe
Cuba,1981-2011,233,419,Latin America and the Caribbean,29,Caribbean
Cyprus,1981-2011,236,142,Asia,145,Western Asia
Czech Republic,1991-2011,239,150,Europe,151,Eastern Europe
Czechoslovakia,1981-1990,242,150,Europe,151,Eastern Europe
Denmark,1981-2011,245,150,Europe,154,Northern Europe
Djibouti,1981-2011,248,2,Africa,14,Eastern Africa
Dominica,1981-2011,251,419,Latin America and the Caribbean,29,Caribbean
Dominican Republic,1981-2011,254,419,Latin America and the Caribbean,29,Caribbean
East Timor ,2000-2011,257,142,Asia,35,South-eastern Asia
Ecuador,1981-2011,260,419,Latin America and the Caribbean,5,South America
Egypt,1981-2011,263,142,Asia,145,Western Asia
El Salvador,1981-2011,266,419,Latin America and the Caribbean,13,Central America
Equatorial Guinea,1981-2011,269,2,Africa,17,Middle Africa
Eritrea,1993-2011,272,2,Africa,14,Eastern Africa
Estonia,1984-2011,275,150,Europe,154,Northern Europe
Ethiopia,1981-2011,278,2,Africa,14,Eastern Africa
Federal Republic of Yugoslavia,2000-2002,692,150,Europe,39,Southern Europe
Fiji,1981-2011,281,9,Oceania,54,Melanesia
Finland,1981-2011,284,150,Europe,154,Northern Europe
France,1981-2011,287,150,Europe,155,Western Europe
Gabon,1981-2011,290,2,Africa,17,Middle Africa
"Gambia, The",1992-2011,293,2,Africa,11,Western Africa
Georgia,1981-2011,296,142,Asia,145,Western Asia
Germany,1981-2011,299,150,Europe,155,Western Europe
Ghana,1981-2011,302,2,Africa,11,Western Africa
Greece,1981-2011,305,150,Europe,39,Southern Europe
Grenada,1981-2011,308,419,Latin America and the Caribbean,29,Caribbean
Guatemala,1981-2011,311,419,Latin America and the Caribbean,13,Central America
Guinea,1981-2011,314,2,Africa,11,Western Africa
Guinea-Bissau,1981-2011,317,2,Africa,11,Western Africa
Guyana,1981-2011,320,419,Latin America and the Caribbean,5,South America
Haiti,1981-2011,323,419,Latin America and the Caribbean,29,Caribbean
Honduras,1981-2011,326,419,Latin America and the Caribbean,13,Central America
Hungary,1981-2011,329,150,Europe,151,Eastern Europe
Iceland,1981-2011,332,150,Europe,154,Northern Europe
India,1981-2011,335,142,Asia,62,South-central Asia
Indonesia,1981-2011,338,142,Asia,35,South-eastern Asia
Iran,1981-2011,341,142,Asia,62,South-central Asia
Iraq,1981-2011,344,142,Asia,145,Western Asia
Ireland,1981-2011,347,150,Europe,154,Northern Europe
Israel,1981-2011,350,142,Asia,145,Western Asia
Italy,1981-2011,353,150,Europe,39,Southern Europe
Jamaica,1981-2011,356,419,Latin America and the Caribbean,29,Caribbean
Japan,1981-2011,359,142,Asia,30,Eastern Asia
Jordan,1992-2011,362,142,Asia,145,Western Asia
Kazakhstan,1981-2011,365,142,Asia,62,South-central Asia
Kenya,1986-2011,368,2,Africa,14,Eastern Africa
Kiribati,1981-2011,371,9,Oceania,57,Micronesia
"Korea, Democratic People's Republic of",1981-2011,374,142,Asia,30,Eastern Asia
"Korea, Republic of",1981-2011,377,142,Asia,30,Eastern Asia
Kosovo,2009-2011,699,150,Europe,39,Southern Europe
Kuwait,1992-2011,380,142,Asia,145,Western Asia
Kyrgyz Republic,1981-2011,383,142,Asia,62,South-central Asia
Laos,1984-2011,386,142,Asia,35,South-eastern Asia
Latvia,1981-2011,389,150,Europe,154,Northern Europe
Lebanon,1981-2011,392,142,Asia,145,Western Asia
Lesotho,1981-2011,395,2,Africa,18,Southern Africa
Liberia,1981-2011,398,2,Africa,11,Western Africa
Libya,1991-2011,401,2,Africa,15,Northern Africa
Liechtenstein,1984-2011,404,150,Europe,155,Western Europe
Lithuania,1981-2011,407,150,Europe,154,Northern Europe
Luxembourg,1992-2011,410,150,Europe,155,Western Europe
Macedonia,1981-2011,413,150,Europe,39,Southern Europe
Madagascar,1981-2011,416,2,Africa,14,Eastern Africa
Malawi,1981-2011,419,2,Africa,14,Eastern Africa
Malaysia,1981-2011,422,142,Asia,35,South-eastern Asia
Maldives,1981-2011,425,142,Asia,62,South-central Asia
Mali,1981-2011,428,2,Africa,11,Western Africa
Malta,1987-2011,431,150,Europe,39,Southern Europe
Marshall Islands,1981-2011,434,9,Oceania,57,Micronesia
Mauritania,1981-2011,437,2,Africa,11,Western Africa
Mauritius,1981-2011,440,2,Africa,14,Eastern Africa
Mexico,1987-2011,443,419,Latin America and the Caribbean,13,Central America
"Micronesia, Federated States of",1981-2011,446,9,Oceania,57,Micronesia
Moldova,1992-2011,449,150,Europe,151,Eastern Europe
Monaco,1993-2011,452,150,Europe,155,Western Europe
Mongolia,1981-2011,455,142,Asia,30,Eastern Asia
Montenegro,2011,458,150,Europe,39,Southern Europe
Morocco,1981-2011,461,2,Africa,15,Northern Africa
Mozambique,1981-2011,464,2,Africa,14,Eastern Africa
Myanmar ,,900,142,Asia,35,South-eastern Asia
Namibia,1981-2011,467,2,Africa,18,Southern Africa
Nauru,1986-2011,470,9,Oceania,57,Micronesia
Nepal,1981-2011,473,142,Asia,62,South-central Asia
Netherlands,1981-2011,476,150,Europe,155,Western Europe
New Zealand,1981-2011,479,9,Oceania,53,Australia & New Zealand
Nicaragua,1981-2011,482,419,Latin America and the Caribbean,13,Central America
Niger,1981-2011,485,2,Africa,11,Western Africa
Nigeria,1981-2011,488,2,Africa,11,Western Africa
Norway,1981-2011,491,150,Europe,154,Northern Europe
Oman,1981-2011,494,142,Asia,145,Western Asia
Pakistan,1981-2011,497,142,Asia,62,South-central Asia
"Palestine, State of",,901,142,Asia,145,Western Asia
Palau,1995-2011,500,9,Oceania,57,Micronesia
Panama,1981-2011,503,419,Latin America and the Caribbean,13,Central America
Papua New Guinea,1981-2011,506,9,Oceania,54,Melanesia
Paraguay,1981-2011,509,419,Latin America and the Caribbean,5,South America
Peru,1981-2011,512,419,Latin America and the Caribbean,5,South America
Philippines,1981-2011,515,142,Asia,35,South-eastern Asia
Poland,1981-2011,518,150,Europe,151,Eastern Europe
Portugal,1981-2011,521,150,Europe,39,Southern Europe
Puerto Rico ,,902,21,North America,21,North America
Qatar,1981-2011,524,142,Asia,145,Western Asia
Romania,1981-2011,527,150,Europe,151,Eastern Europe
Russia,1992-2011,530,150,Europe,151,Eastern Europe
Rwanda,1981-2011,533,2,Africa,14,Eastern Africa
Saint Kitts and Nevis,1983-2011,536,419,Latin America and the Caribbean,29,Caribbean
Saint Lucia,1981-2011,539,419,Latin America and the Caribbean,29,Caribbean
Saint Vincent and the Grenadines,1981-2011,542,419,Latin America and the Caribbean,29,Caribbean
Samoa,1981-2011,545,9,Oceania,61,Polynesia
San Marino,1992-2011,548,150,Europe,39,Southern Europe
Sao Tome and Principe,1981-2011,551,2,Africa,17,Middle Africa
Saudi Arabia,1981-2011,554,142,Asia,145,Western Asia
Senegal,1981-2011,557,2,Africa,11,Western Africa
Serbia,2011,560,150,Europe,39,Southern Europe
Serbia and Montenegro,1992-1999,563,150,Europe,39,Southern Europe
Seychelles,1981-2011,566,2,Africa,14,Eastern Africa
Sierra Leone,1981-2011,569,2,Africa,11,Western Africa
Singapore,1981-2011,572,142,Asia,35,South-eastern Asia
Slovak Republic,1993-2011,575,150,Europe,151,Eastern Europe
Slovenia,1992-2011,578,150,Europe,39,Southern Europe
Solomon Islands,1981-2011,581,9,Oceania,54,Melanesia
Somalia,1981-2011,584,2,Africa,14,Eastern Africa
South Africa,1981-2011,587,2,Africa,18,Southern Africa
South Suda,2011,700,2,Africa,15,Northern Africa
Soviet Union,1981-1991,590,150,Europe,151,Eastern Europe
Spain,1981-2011,593,150,Europe,39,Southern Europe
Sri Lanka,1981-2011,596,142,Asia,62,South-central Asia
Sudan,1981-2011,599,2,Africa,15,Northern Africa
Suriname,1981-2011,602,419,Latin America and the Caribbean,5,Caribbean
Swaziland,1981-2011,605,2,Africa,18,Southern Africa
Sweden,1981-2011,608,150,Europe,154,Northern Europe
Switzerland,1981-2011,611,150,Europe,155,Western Europe
Syria,1981-2011,614,142,Asia,145,Western Asia
Taiwan,1981-2011,617,142,Asia,30,Eastern Asia
Tajikistan,1992-2011,620,142,Asia,62,South-central Asia
Tanzania,1981-2011,623,2,Africa,14,Eastern Africa
Thailand,1981-2011,626,142,Asia,35,South-eastern Asia
Timor Leste,,903,142,Asia,35,South-eastern Asia
Togo,1981-2011,629,2,Africa,11,Western Africa
Tonga,1986-2011,632,9,Oceania,61,Polynesia
Trinidad and Tobago,1981-2011,635,419,Latin America and the Caribbean,29,Caribbean
Tunisia,1981-2011,638,2,Africa,15,Northern Africa
Turkey,1981-2011,641,142,Asia,145,Western Asia
Turkmenistan,1992-2011,644,142,Asia,62,South-central Asia
Tuvalu,1991-2011,647,9,Oceania,61,Polynesia
Uganda,1981-2011,650,2,Africa,14,Eastern Africa
Ukraine,1992-2011,653,150,Europe,151,Eastern Europe
United Arab Emirates,1981-2011,656,142,Asia,145,Western Asia
United Kingdom,1981-2011,659,150,Europe,154,Northern Europe
United States of America,1981-2011,662,21,North America,21,North America
Uruguay,1981-2011,665,419,Latin America and the Caribbean,5,South America
Uzbekistan,1992-2011,668,142,Asia,62,South-central Asia
Vanuatu,1981-2011,671,9,Oceania,54,Melanesia
Venezuela,1981-2011,674,419,Latin America and the Caribbean,5,South America
Vietnam,1981-2011,677,142,Asia,35,South-eastern Asia
Yemen ,1990-2011,680,142,Asia,145,Western Asia
Yemen Arab Republic,1981-1989,683,142,Asia,145,Western Asia
"Yemen, South",1981-1989,686,142,Asia,145,Western Asia
Yugoslavia,1981-1991,689,150,Europe,39,Southern Europe
Zambia,1981-2011,695,2,Africa,14,Eastern Africa
Zimbabwe,1981-2011,698,2,Africa,14,Eastern Africa
